title,body,compensation,pay_amount,amount,email
ATRACTIVE GIRLS/ COMPANION MODELS,"QR Code Link to This Post
            
        


******* HABLAMOS ESPAÑOL ********
Agencia de entretenimiento para adultos que busca chicas atractivas de entre 21 y 38 años.

Disponible para trabajar Turno nocturno de 8PM a 3AM

Se proporciona Transporte.
Con Experiencia , pero no es requerida.
Buena actitud.

Si estás interesada, envíenos un mensaje de texto al 
(754) 999-7357, con la siguiente información:

Nombre / Edad /Nacionalidad /2 Fotos (cara y cuerpo)

**************************************
Adult Entertaintment company looking for Atractive girls ages 21- 38. 

Available to work Night shift from 8PM - 3AM 

Transportation provided 
Experience preferred, but not required 
Great listner and have a great attitude.

If you are interested please TEXT US (754) 999-7357, with the following information: 

Name / Age / Nationally /2 pictures (face and body",compensation: 80HR,80,hr,
Seeking Female for Personal Ongoing Paid Modeling,"QR Code Link to This Post
            
        
Looking for a girl (over 18) to model for me every so often. No pics or video will be taken, this is just for fun. I'm in the Newark, DE area so the more local the better. If possibly interested, please reply with either a pic or description of yourself and we can discuss details/payment etc!",compensation: Negotiable,-1,NA,ac4543ac01d839a18714c155c02b64fc@gigs.craigslist.org
Social Media/Marketing,"QR Code Link to This Post
            
        
Looking for someone to help part time for an up and coming swimsuit company. Task would include creating social media content and marketing strategies. No more than 10 hours a week and will discuss pay with inquires. 

This is a great side gig for anyone looking to gain experience in this profession. 
Check out the website HipSeaSwim.com to learn more about the brand.",compensation: Pay will be discussed based on experience.,-1,ience.,74e275505ee533b1b3803b6fc35d3429@gigs.craigslist.org
Casting Call: Female freckled model talent needed,"QR Code Link to This Post
            
        
Gray Chenier - couture fashion house/Raleigh NC 

Do you want to be a part of a contemporary high end clothing design company?   This is your chance!

- We are a looking for a female model for an upcoming shoot.  Model needs lots of freckles!!  We are looking for a certain look for our brand's next shoot.  
- Shoot is TFP, and you will be featured on our website and upcoming runway shoots.

- Date of Shoot TBD

- Please send a headshot and full body pic.  Please send shirt and pant size and dates you're available to shoot. 

- Models must be female and have freckles to be considered for this shoot.",no pay,-1,NA,852f2672df79314a8a100b5348e7c32e@gigs.craigslist.org
Model Needed,"QR Code Link to This Post
            
        
Model needed for classy photoshoot including some nudity. 

- Please be ok with nudity but also understand this is a classy shoot so most shots will not be nude, or will be semi-nude.

- Race, age and body type does not matter for this shoot (within reason, nobody under 18) but you must be attractive, obviously!

- Please include a picture proving who you are - either by holding something with your contact details or today's date. Sorry for this but 90% of responses are fake/spam so this helps weed those out.

Contact me for more details!","compensation: $200 compensation, should only take 2-3 hours",200,hour,d05229f94ba13350966c9c0a13768519@gigs.craigslist.org
Fluent in Thai and English,"QR Code Link to This Post
            
        
I need someone fluent in English and Thai to translate messages from vendors for me, and seek other vendors. Willing to pay for your time",compensation: $20,20,NA,371f41ef1f9538e5bca85f388495688c@gigs.craigslist.org
Unity3D Developer,"QR Code Link to This Post
            
        
We are The Net VR, a startup based in Hillsboro Oregon. We are developing a streaming platform using the unity game engine. We are looking for a motivated individual with experience using unity and minor web development that will fit well with our team!

MUST HAVE 
experience developing in unity3D game engine
Fluent in C#
experience using Javascript
Ability to work with a team and independently driven.",compensation: TBD based on experience,-1,ience,9fa5afa6fce8336db029699cae01144c@gigs.craigslist.org
Android phone programmer,"QR Code Link to This Post
            
        
Need someone to program an android phone to:
Answer a designated number
Press 9 button

I’ve tried using macro droid, tasked, auto input etc. Phones are not my specialty so need someone to help out and will pay cash. 
Email anytime!",compensation: Paid per job,-1, job,92afa30fd1593a60b61094a37b151a9c@gigs.craigslist.org
Model For Professional Photographer,"QR Code Link to This Post
            
        
Professional Photographer has new gear and needs to work out settings and fine tune skills. 

Pay is minimum wage $7.25 per hour or trade photos - one or the other. 

2 - 3 hours. No funny business - you will not be asked to do anything other than pose, fully clothed. 

Portrait, Athletes, musicians, mommy and me, corporate and headshot style photos.

Schedule is very flexible, daytime, nighttime, indoors or outdoors. Help me fine tune my skills. That's all.",compensation: Minimum Wage at $7.25 per hour,7,hour,bc85df4ef1ab3d559dc453fc07c788ea@gigs.craigslist.org
[F] Tech Co-founder for Mobile App Start-up,"QR Code Link to This Post
            
        
We are looking for (ideally Female) iOS and/or Android developer that is willing to join our team as co-founder of a mobile app we are working on. 
Theoretically, we would meet with you and explain what we are trying to do and if you like and believe in the project and your personality, goals and availability are a match with ours. We would, then, negotiate the co-founder agreement and vesting and other necessary paperwork.

I have included below some of the responsibilities of the role:
Participate on Board Meetings
Participate in Startup networking events
Design and build mobile applications for Apple’s iOS and/or Android platform.
Collaborate with the design team to define app features.
Ensure quality and performance of application to specifications.
Identify potential problems and resolving application bottlenecks.
Fix application bugs before final launch.
Publish application on App Store and Play Store.
Among other early stages Startup tasks",no pay,-1,NA,715f7dbd9581368b8a4c1f7c80fedbb1@gigs.craigslist.org
Seeking Female Vocalist (quasi Classical),"QR Code Link to This Post
            
        
Now Auditioning for Professional Soprano / Lead Vocalist

Tour of Six Christmas Performances between Dec. 17 and Dec. 30, 2020. Potential for recurring annual gigs.

Professional level fee plus tour expenses.

Seeking versatile female vocalist for tour of six cities in North Carolina. Formal vocal training is a plus, but is not required. Able to sing both with and without vibrato. Ability to memorize songs in multiple languages. Cheerful, friendly stage presence.  

Touring troupe of 10 members is led by Jamie Laval, the producer, composer, and frontline performer. Show is an artfully designed production of songs, instrumentals, storytelling, poetry, and dancing with seamless transitions from one selection to the next. (Watch Highlights video on the Jamie Laval website to get a sense of the show.)

Members are happy, friendly, talented, modest, willing to help out, enjoy each other's company, and observe healthy lifestyles (no drugs, moderate alcohol after performances).

Auditions held via Facetime or Skype by appointment.

For an appointment, please express interest via CL Email, beginning with the salutation, ""Dear Mr. Laval...."". Please provide a video link, website, EPK, or some form of online portfolio. If you do not have one of these, please send photo and describe your level of ability and experience, ie: ""I played Maria in Sound of Music..."" We can then set up an appointment using regular email.

Thank you!",compensation: Professional fee rate,-1,NA,e7d525474957337a9b2cd88118b22a31@gigs.craigslist.org
Seeking Professional Female Vocalist (semi classical),"QR Code Link to This Post
            
        
Now Auditioning for Professional Soprano / Lead Vocalist

Tour of Six Christmas Performances between Dec. 17 and Dec. 30, 2020. Potential for recurring annual gigs.

Professional level fee plus tour expenses.

Seeking versatile female vocalist for tour of six cities in North Carolina. Formal vocal training is a plus, but is not required. Able to sing both with and without vibrato. Ability to memorize songs in multiple languages. Cheerful, friendly stage presence.  

Touring troupe of 10 members is led by Jamie Laval, the producer, composer, and frontline performer. Show is an artfully designed production of songs, instrumentals, storytelling, poetry, and dancing with seamless transitions from one selection to the next. (Watch Highlights video on the Jamie Laval website to get a sense of the show.)

Members are happy, friendly, talented, modest, willing to help out, enjoy each other's company, and observe healthy lifestyles (no drugs, moderate alcohol after performances).

Auditions held via Facetime or Skype by appointment. 

For an appointment, please express interest via CL Email, beginning with the salutation, ""Dear Mr. Laval...."". Please provide a video link, website, EPK, or some form of online portfolio. If you do not have one of these, please send photo and describe your level of ability and experience, ie: ""I played Maria in Sound of Music..."" We can then set up an appointment using regular email.

Thank you!","compensation: Professional fee rate, increasing annually",-1,NA,eedc8a3b0bfd3e66838dfc697887d14c@gigs.craigslist.org
iOS Paypal Adaptive Payments Developer,"QR Code Link to This Post
            
        
Hello,

I am an individual developer with a sharing economy iOS app that is active on the app store. My app uses paypal for all payments between users. I need to update my app so that my company can take a commission of a payment between two users of the app. The original version of the app allowed for a commission to be taken, but paypal has updated its sandbox and the app no longer takes a commission. I believe what I need is possible by implementing the new paypal adaptive payments to allow for a commission to be taken on a payment between two users of the app.

If you can do this, please send me an email. Thank you,",compensation: negotiable,-1,NA,a4967e3f353b35548e41eca674736fe6@gigs.craigslist.org
Write a Wikipedia Page,"QR Code Link to This Post
            
        
I'm looking to hire someone to write up a biography and create a wikipedia page for a local celebrity.",compensation: 100,100,NA,c516524a9c993da99549e7c1dfc26f99@gigs.craigslist.org
Thesis writer MBA,"QR Code Link to This Post
            
        
I have written my MBA thesis . I need someone read advisors comments then make changes and improvements . Must be able to add content not just edit words. I have time and not interested in overnight turnaround.",compensation: Will discuss,-1,NA,d0c839be58eb34c3925e70ee69ec1e4b@gigs.craigslist.org
iOS streaming video,"QR Code Link to This Post
            
        
Extensive experience coding using replaykit 2, broadcast extensions, multi-peer connectivity and other video idiosyncrasies of iOS.",compensation: contract,-1,NA,f0fea8da586a3c78bb1c2e62a4c17e2a@gigs.craigslist.org
Freelance Nutritional Writer Needed,"QR Code Link to This Post
            
        
In search of a nutritionist and writer who can write blog posts for my website regarding the health benefits of weight gain smoothies. Work from home, we can discuss the position more via email. Please respond with your resume, references of work, and pay expectancy. 

Thank you.",compensation: DOE,-1,NA,1dcdff4c6cc436a28f5d58af2282613e@gigs.craigslist.org
Marketing/sales minded individual wanted,"QR Code Link to This Post
            
        
Are you great at networking and talking to people? If so, this position is a great fit for you. Looking for an individual to help with consignment/resale business.  Commission based position. Sky is the limit for a talented and motivated individual.",compensation: commission basis,-1,NA,e87a8903c30f3dcfa9a82b0e940c3bec@gigs.craigslist.org
Paid Research Study - Share Your Thoughts About American History,"QR Code Link to This Post
            
        
America's story is unique. From our national history to the history of our communities, it has shaped our country.
 
A group of history museums, including Colonial Williamsburg, Thomas Jefferson's Monticello, and George Washington's Mount Vernon, is conducting a study to learn more about how Americans like you think about history in our country.
 
We are seeking Americans from across the country, from a variety of backgrounds, to participate in an online panel.
 
To enroll, go to:
 
250th Broader Population Screening Survey

and take a short survey to determine eligibility. Since we are seeking a variety of opinions and perspectives from throughout the country, there are no wrong answers. An interest in history is not required to participate.
 
If you are asked to join the panel, you will be invited into a secure, moderated, online space and asked to thoughtfully answer 8 questions (two/week) over four weeks. All questions must be completed by March 9, 2020 to be eligible for a $50 gift card to Amazon.com (to be sent to your email address between March 9 and March 11, 2020).
 
You will be notified by Monday, February 10 (likely sooner) if you have been selected. Up to 100 individuals will be selected for this panel.
 
If you have any questions about this research, you can reply to this posting.",compensation: $50 gift card to Amazon.com,50,NA,a38735a24a6637bbb02b04e3292daf0a@gigs.craigslist.org
Looking for local computer / IT support technician - Monthly Retainer,"QR Code Link to This Post
            
        
We are looking for a friendly/personable on-site computer technician in the San Francisco area (Preferably near Financial District/Ferry Building) to be available on-call on retainer. Negotiable monthly stipend/retainer just for being available, plus hourly rate for all work. We need someone who can typically be available within one hour 10am-7pm, 7 days per week.  Calls will be relatively rare, but you can make good money just by being available if needed. Limited PC Repair/Technical skills needed.

The ideal contractor will have good PC/computer repair skills (POS/Point Of Sale experience not required, but a huge plus), be friendly and a good communicator and able to understand and follow complex directions. All work will be directed by our corporate IT engineering team.  Good way to make some extra fun money for someone with tech skills and a little bit of flexibility.",compensation: Negotiable stipend for being available plus approx $125/Hr. (negotiable) for all work performed,-1,hr,ca662aeb9d5d3d209d71e18a4122187c@gigs.craigslist.org
Make 100-200$ a day as an Online computer telemarker,"QR Code Link to This Post
            
        
Looking for work where you can work remotely and on your own schedule?
Join our online telemarketing team where you can work independently as an online telemarketer and advertiser.

No cold calling. Full training for gaining leads.
Work remotely anywhere you choose.
Set your own hours, anytime you choose. 
Work on your own schedule.

As a 1099 independent contractor, you will have complete control over how you operate. You will be fully trained and continuing education is provided.

If you are tired of the 9-5 rat race, change your life today and discover an entire new world of making money, online.

No startup fees are required. All that is needed is internet access and phone service. 
A bank account to receive payment. Payment is issued same day. Work today get paid today.
This is a legitimate service that is affiliated with multi-billion dollar industries, revolutionizing the marketing business.
If you want to be apart of something reputable with the opportunity to make real money, contact us today.

Call or text today
4049842676",compensation: 100-200$ daily,100,daily,ca1b7594a59e3c69a7c5e585dcff6447@gigs.craigslist.org
Computer Science tutor needed,"QR Code Link to This Post
            
        
I need help with a computer science class CS3330/Data structure algorithm/C++",compensation: weekly pay,-1,NA,388a15ed24f735738e5c6f934833fc77@gigs.craigslist.org
Teach me spanish,"QR Code Link to This Post
            
        
Teach me Spanish today $10/hr.
Norfolk",compensation: $10/hr,10,hr,85d939f8682e38119029c3c18d6eb900@gigs.craigslist.org
You're within 35 miles of CHI and moderately computer literate.,"QR Code Link to This Post
            
        
90% of the intent of this ad is for a paid gig that must be close to Chicago.  I define ""close"" below.  For those of you nowhere near Chicago, I might as well mention my software apprentice gig; I say a bit more at the bottom.


THE MUST HAVES FOR THE CHICAGO PAID GIG

The Chicago paid gig is to digitally (computer) record several Chicago TV channels.  I know how to do this, but I need someone near Chicago.  Specifically, your distance from downtown Chicago is bounded as such:

1. If you're within the broadcast area of at least the 4 national, commercial affiliates (ABC, CBS, NBC, Fox), that would be great.  That almost certainly works within 30 miles, probably 40 miles, maybe 60 miles, and hypothetically 100 miles, but 100 miles is probably way too far.  The more channels and the closer and the stronger signal, the better.  If you're on the borderland, we can look at the FCC maps, and you may know what you can get, and we can otherwise discuss.

2. If you're outside broadcast but in the Chicago cable TV zone, you'd have to have a clear QAM cable signal.  My research so far is that those are becoming rare.  We can discuss / research if need be.

3.a. We have people near downtown Chicago but without the tech knowledge (see below).  If 
you can go to Chicago to set up and then when something breaks, that might work.  

3.b. Similarly, if you have someplace you can host a recording computer within the broadcast zone, that might work, as long as you can get to the computer as needed.

OTHER MUST HAVES

The basic requirements involve very few hours a week or month.  There is more possible work involved, though, which I list below.  

The gig is ongoing in that we hope to record ""forever.""

The computer needs to record at least 17 - 19 hours a day, and it probably makes sense to just leave it on 24/7.  It needs to be connected to an antenna, although not necessarily a big one.  Thus, moving the computer is risky.  You could start off with a laptop but you probably couldn't use it as a mobile laptop.

You'll have to swap out hard drives perhaps as often as every 10 days.

You'll probably have to mail USB drives and / or Blu-rays and / or entire hard drives every few days.  If you're close enough to downtown Chicago to hand-deliver them, great.  (This is one of several factors that I haven't mapped out completely.  My best estimate is the upload speeds to avoid snail mail would be hard to get.  We can discuss if need be.)

As I mentioned, we already know people in the broadcast area.  My concern is that they would be useless as soon as something breaks.  So you need to be technical enough to troubleshoot with my remote help.  

Similarly, eventually I'll probably need to get into the computer remotely.  If that waits until you're using a ""company"" computer, that's fine.  Thus, you may need to open up firewall ports: port forwarding or pinholing.  (Or we might be able to use UPnP.  My research hasn't gotten that far.)  That's also the sort of thing that folks we know can't do.

See my note about communicating in writing below.

REALLY NICE TO HAVE

If you have a computer we can use / rent from you to start out with, that would be great.  Eventually we'll probably send you or pay for you to build a ""company"" computer.

On that point, if you can pick out a used computer for us to pay for and / or get paid to build one, that would save me the trouble of doing so and sending you one.

Running Linux would make my life easier.  Linux within Virtualbox or such may work.  I run Ubuntu, but the distro probably doesn't matter.


EXTRA WORK

If you want to do some basic video editing on an ongoing basis (for pay, of course), that would be great.  I hadn't done it until this project, so I can tell you for a fact that it doesn't have to be pro grade, and I can (hopefully) teach you based on what I did.  It took me 2 - 3 hours to learn well enough including eliminating 2 pieces of editing software.  Now I know what works.

There is another line of work, or at least one, you could do within this, but I don't want to give away all the secrets in a public ad.  Remind me to discuss.


PAY

Pay is negotiable.  I wish I could be more specific, but we haven't done this before, there are a lot of if-then-elses, and I can't quite envision the exact workflow.  We can go through in detail what is needed and then you have a basis to tell us what you want.  I've ""done this"" enough to prove it's doable, but not on an ongoing basis, so, again, there are aspects I haven't mapped out.


""I"" versus ""we""

I hate it when people nebulously use ""we.""  I am the tech guy of this project.  There is also a money lady.  The money lady is a Georgia Tech civil engineering grad, so no tech slouch.  So that's why I switch between I and we.  Also, I hope some of you will be thrilled that it's the tech guy posting the ad and filtering the responses.
  

ONE MORE MUST - WRITTEN COMMUNICATION

I'll add one more must-have qualification, with the approval of the money lady.  You must be comfortable communicating in writing.  I'm the typical to somewhat extreme geek type who is not in a hurry to talk to strangers on the phone.  Also, I am older than the culture of instant communication.  I'd rather substance over speed.  You don't have to answer me immediately on your phone.  In fact, it's probably best never to write me on your phone--at least not until we know each other--it tends to annoy me.  If you don't own a real keyboard--at least a laptop--that almost certainly eliminates you just on communication grounds.

Also, I've suffered a number of times in life because I got on the phone too quickly.  I can tell a lot about someone from a few emails. I make judgement mistakes about someone on the phone that I probably wouldn't by email.


SOFTWARE APPRENTICES

Those of you who look at CraigsList (inter)nationally may have seen my ~15 - 20 software apprentices ads in Atlanta computer gigs, going back to 2013 or so.  I'm still in Atlanta, but I don't care where my apprentices are.  The apprentice gig would be unpaid.  The payment would be learning marketable skills.  Beyond that, that's not the focus of this ad, so ask for more if you want.  I figure anyone who has read this far may pass my written com test.",compensation: negotiable,-1,NA,2d063c2f1158329eba7db21c42f6b76d@gigs.craigslist.org
Webpage designer for art website,"QR Code Link to This Post
            
        
I am looking for a webpage designer to create a website for showing and selling art work of highly sensitive artists, including those with Asperger’s. Connecting with others in person, finding their way into the art market seems daunting to them. A platform to share their beautiful art creations with the world lights my heart up. 

You must be able to create pages with thumbnails of art works that link to a full view, videos of the art works, etc., and a paypal button to accept secure payments, a button for memberships… Something in the line of Artrepreneur.

Must be willing to trade for my services (massage, Feng Shui consultations, Qigong and other classes). I live in the Andersonville area of Chicago.

Looking forward to collaborating with you:)
Brigitte",no pay,-1,NA,b0d2c8e0697037bcac943fa27f9dfc72@gigs.craigslist.org
Looking for someone to make my website,"QR Code Link to This Post
            
        
Hi,
I have a small commercial janitorial Services and I’m looking for someone to do my website, please send me your proposal for review, looking to get done very soon please have experience.
You can send me your price by email or by text at 650-515-2336

Estoy buscando a alguien que me ayude hacer una pagina de internet con experiencia para una pequeña de limpieza.
Manda tu propuesta por email o mandame texto al 650-515-2336",no pay,-1,NA,f7c0e87a7c693500a8a6ad977da4b87d@gigs.craigslist.org
I need a graphic designer,"QR Code Link to This Post
            
        
I'm looking for a graphic designer who can alter some of my photos and add text 
on them to look like a magazine cover or an add. 
Someone who can write in different languages (Russian preferred) would be great.
Please send me your work to look at.
I will pay $15- $40 per picture, depends on how much text. I need about 6 pictures.",compensation: $15-$40,15,NA,797d1853d8a73b98907b201e264ecc92@gigs.craigslist.org
Manufacturing Design Engineer Wanted,"QR Code Link to This Post
            
        
Looking for a Design Engineer to help design and engineer a consumer hardware product.  You must be creative, passionate about design, and able to deliver on tight timelines.  

Requirements:
1. Solidworks expert
2. Prepare engineering documentation necessary for the transition from development to production including assembly instructions, process flow diagrams, standard repair plans, schematic diagrams, BOMs, and mechanical drawings.
3. 2D Drawing/Drafting experience 
4. Some sort of hobby that relates to mechanics - Robots, cars, bikes, motorcycles, whatever it is but you need to have an understanding of how things work.


Please reply with your resume and your available hours.","compensation: $1,000 - $2,500",1000,NA,29c9578b6df936d488eb71b8148df8ba@gigs.craigslist.org
Now Casting: Asian Actors for new web series,"QR Code Link to This Post
            
        
We’re a startup media company looking for ASIAN ACTORS for our new web series. 

What we are looking for:

7 asian males (Age 24 - 27)  
2 asian males (Age 27 - 30)
1 asian male (Age 30 - 40)
2 asian males (Age 48 - 65)
1 asian female (Age 24 - 27)
1 asian female (Age 48 - 65)

Please send headshots, resume and video reels! 

ADDITIONAL INFORMATION:

Auditions will be held in NYC 
Filming locations: New York  / New Jersey
Non-Union 
More info will be given when contacted","compensation: Deferred pay (no pay upfront), but all transportation & food covered",-1,NA,5c0f5518807f3c1488c139988ea84f0c@gigs.craigslist.org
Seeking Very Tech Savvy Web Designer,"QR Code Link to This Post
            
        
I am seeking a super talented and tech savvy web designer to work on an ADULT themed project. Obviously, you must be over 18 since it is ADULT themed. Also, you must be comfortable with that. Hit me up so we can discuss pay, specs, details, etc. UNITED STATES RESIDENTS ONLY, NYC PREFERRED. I look forward to hearing from you.","compensation: Open to discussion, definitely a paid position.",-1,paid position.,124a68a83a3e385fb9de07fc8ddd6054@gigs.craigslist.org
Web designer,"QR Code Link to This Post
            
        
Looking for someone with experience using SquareSpace",compensation: Depends upon experience,-1,ience,b25964dfb3ac3e5594d0fb5f7203d1e2@gigs.craigslist.org
Freelance Audio/Sound Engineer,"QR Code Link to This Post
            
        
We are a boutique Brooklyn digital recording studio interviewing for a Seasoned/Experienced/Freelance Audio Engineer team member. This is a great opportunity for an audio engineer with an existing client network who is looking for a studio to call home.

Engineer must possess strong mixing, mastering and tracking skills with the ability to jump right into running sessions and work independently with clients. Although the studio will book clients, this is not for the engineer looking only to have bookings given to them. We'd prefer an engineer who has built some clientele and a repertoire, who knows how to bring in work as well. Engineer should be a self-starter and be comfortable with running music sessions confidently and be comfortable with different genres and social scenes. We currently book a majority of Hip-Hop and R&B so this should be engineer’s strong suit; but engineer should also be versatile with other genres. As well, we service film pre/post editing and voice-overs, so related skill sets are a plus.

As part of job responsibility, Engineer must arrive 15 minutes prior to session start time to set up studio and, if needed occasionally, must stay after sessions 15 minutes to close out session. This prep and breakdown time is unpaid time.

To apply:
-	Send resume
-	Send links of your work (engineered songs, projects, film work, etc.)
-	If selected for the position, there is a 2-hour review session with an artist of your choice or ours. There is an initial unpaid session to assess your engineering level and skllls.

JOB REQUIREMENTS:

Technical Skills Required
-	Must have 4+ years of experience working with Pro Tools
-	Must have strong and fast tracking, mixing, mastering and editing skills
-	Must be able to punch vocals and instruments in/out quickly, effectively and efficiently, and edit during sessions
-	Must be able to mix and master a variety of music genres at a professional radio-ready level
-	Must have thorough understanding of signal flow, microphone functionality placement and pre amp paths.
-	Must be familiar with using various plug-ins such as UAD, MCDSP, SOFTTUBE, SLATE, WAVES, Antares, Izotope, etc. and maximizing their value.
-	Must have knowledge of keyboard and MIDI controller usage and signal flow interactions; frequency range, EQ. compression, limiting, gating, sidechaining, shaping, etc.
-	Must have clear understanding of using a digital console mixer
-	Must have knowledge of new digital audio technologies and editing techniques as well as the music genres’ cultures

Professional/Soft Skills Required
-	Professional studio employment or freelance work in professional studios or viable years of self music employment
-	Must be reliable
-	Must be a self-starter, take initiative and possess strong work ethics
-	Must be able to multi-task, work independently and run successful sessions confidently
-	Must be organized, timely, detail-oriented and personable with good customer service attitude
-	Must have ability to communicate well with diverse groups of people

Extra Plus
-	Humble
-	Music Production knowledge
-	Avid certification
-	ADR / Voiceover and film editing skills
-	Sound Design, Restoration & Scoring skills
-	Audio engineering degree or schooling is a plus but not required
-	Knowledge and usage of UAD Apollo, Pro Logic, Ableton Live, Final Cut Pro, Premier, Slate VMS-1 Mic System, Mic Placement, Maschine Studio, Yamaha keyboards.

This position is in Bedford Stuyvesant in Brooklyn, NY. We would prefer someone close in the area (Bed-Stuy, Crown Heights, Bushwick) or someone who would have no problem commuting quickly to occasionally work last minute bookings. We have a very relaxed laid-back environment and are looking for the same in a prospective engineer team member. This is a Freelance position so we’re flexible to work with your schedule, and expect your schedule should be flexible as well. 

Please only apply if you have serious interest and feel you have the skills to fit the position and can add value. (You must send links demonstrating your work, otherwise your application will not be considered.)",compensation: $25/hr for booked sessions,-1,hr,0d01c9b1ad153dc3b607beac19e96df0@gigs.craigslist.org
Need someone to video property with a drone,"QR Code Link to This Post
            
        
Hello cl, need someone to video my 6 acre property with a drone. If you have an app or something that can record distance, even better. Not looking to spend a lot just want to map out some trails and see my boundaries. Thanks any questions shoot me an email.",compensation: TBD,-1,NA,a7477ab929d2372cb13ab7110527363c@gigs.craigslist.org
Personal videos $$$ opportunities,"QR Code Link to This Post
            
        
Looking for a talented 21+ female muse",compensation: Possible pay per video by request,-1, video by request,dd9cfc84f7343fb8aaefcaed76699c80@gigs.craigslist.org
actors needed for selfie video | product testimonial,"QR Code Link to This Post
            
        
Looking for actors/actresses to film a video of themselves speaking on camera. The video will be filmed by you on your cell phone. It should look like an organic selfie video. You need a phone (iPhone ideally) with a high quality camera.

You'll be speaking about a pet bed. We'll send you primary talking points to mention in the video. 

The video should be under 60 seconds. Multiple variations may be needed.

Thanks!",compensation: $50,50,NA,2a74d4fc126333b493beb088e4ab731b@gigs.craigslist.org
Illustrator for two children’s books,"QR Code Link to This Post
            
        
I have written two children’s books and need an illustrator to bring the stories to life. 

I am working on additional stories, so their will be more projects.",compensation: TBD,-1,NA,8fdd10ede1a63e439eb8ce1a94ec1d5c@gigs.craigslist.org
Casting for a training video,"QR Code Link to This Post
            
        
I'm looking for a female to be in a video tutorial I'm planning to produce for a client of mines.

The video is for training purposes so these can't be distributed for portfolio use unless with permission.

It's going to be a full 8-hour day of work with breaks in between.

Message me if you're interested.

You will be compensated at $400 for the whole day.",compensation: $400,400,NA,314d0f17ec323bccbae61dcf8e46a143@gigs.craigslist.org
Singer/rappers for Music Video,"QR Code Link to This Post
            
        
I am very passionate for editing videos. Although i haven't went to school for video editing, i have done a lot of video editing and effects in my life. I am looking for aspiring singers of any genre of music and is looking to transfer to the next level in their music. I am looking to create for you a music video with my brand name on it for free. This is for me to get more experience in editing/visual effects. I have my camera and computer with the editing software ready to be put to use. I am looking for people who are dedicated and will not be late to any set date and time that we agree on. I take my work very seriously and if we can't be on the same page then i will have to cut people out. Please include your full name, age, genre of music, and at least 3 of your best songs. If you are chosen we will be sit down and create a rough draft of your vision you are trying to manifest and we will proceed from there. Thank you.",no pay,-1,NA,alexmontoya27@yahoo.com
SPECIAL  SECURITY,"QR Code Link to This Post
            
        
Unarmed security
Downtown Parking garage patrolling around checking floors assistant with traffic flow when cars get backup.
If you have problems walking do not apply

7AM to 3PM Saturday and Sunday ONLY
3PM to 7AM  Flexible Schedule
11PM to 7AM Flexible Schedule


If interested call 4.0.7. 6.9.0. 2.9.2.6.",compensation: 9.00 per hour,9,hour,3c162f2260b0308b964e9b8db6c123e8@gigs.craigslist.org
Rebel of America Assistant Editor,"QR Code Link to This Post
            
        
Looking for assistant editor LA region for a project premiere, sync sound and prep for editorial.  Rate $100 dollars an hour. Has to be able to build a bay at our office in Beverly Hills

Availability as soon as the 27th, 28th January 2020 and finish ASAP",compensation: $100/hr,100,hr,c87cbc47f66f35fbbd8c0f8dc0bd84aa@gigs.craigslist.org
'Female Artistic Figure Model Shoot,"QR Code Link to This Post
            
        
Seeking females 18+ for artistic Figure modeling shoot
Slim, athletic or curvy body types are accepted

Cash Pay: $300

You must be comfortable being nude
This is for an online art school
Please apply here with your info and clear photos:
https://figureartschool.com/become-a-figure-model.html",compensation: Cash Pay: $300,300,NA,5f90c86d693439fbbcda2ce9cdd6fd5d@gigs.craigslist.org
Want to get a tattoo of an ex's name covered up by a famous artist?,"QR Code Link to This Post
            
        
Casting Call: Major Food Delivery Service Promo Video

The Cast Station (www.thecaststation.com ) is looking for diverse people who have a tattoo of their ex's name and are willing to get it covered with their favorite food by a legendary tattoo artist. This famous tattoo artist has done tattoos for SNOOP DOGG, EMINEM, BEYONCE.

We are looking for people who feel comfortable speaking about their break up with their ex at a surface level and who are also willing to tell us why they love their favorite food so much.

Audition: 1/31
Shoot: 2/3
Payment: FREE tattoo by legendary tattoo artist & additional $$ compensation.

Please fill out the information in the link below to be considered:

TATTOO COVER UP SUBMISSIONS LINK",compensation: Free tattoo cover up by famour tattoo artist + additional $$ compensation,-1,NA,fdb3291da0c231f58bb8b33cbdb4c36a@gigs.craigslist.org
Video Intern Needed - Flexible and Paid Opportunity,"QR Code Link to This Post
            
        
Fun Realtor seeking equally fun intern/college student to shoot,edit, and post (social media) short 2 minute vlogs about real estate and community/educational events. College student ideal with a flexible schedule - part time (1-2 times per week with possible expansion).","compensation: $30 per vlog (shoot, edit and post) aprox 3 hours of work each -- 1-3 per weeks (possibly shot on the same day each time)",30,day,a4c67e026ca335048dbd05c997051ba0@gigs.craigslist.org
